Date,Link
"Dec 16, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-12-16/pdf/CREC-2014-12-16-dailydigest.pdf
"Dec 15, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-12-15/pdf/CREC-2014-12-15-dailydigest.pdf
"Dec 13, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-12-13/pdf/CREC-2014-12-13-dailydigest.pdf
"Dec 12, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-12-12/pdf/CREC-2014-12-12-dailydigest.pdf
"Dec 11, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-12-11/pdf/CREC-2014-12-11-dailydigest.pdf
"Dec 10, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-12-10/pdf/CREC-2014-12-10-dailydigest.pdf
"Dec 09, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-12-09/pdf/CREC-2014-12-09-dailydigest.pdf
"Dec 08, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-12-08/pdf/CREC-2014-12-08-dailydigest.pdf
"Dec 04, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-12-04/pdf/CREC-2014-12-04-dailydigest.pdf
"Dec 03, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-12-03/pdf/CREC-2014-12-03-dailydigest.pdf
"Dec 02, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-12-02/pdf/CREC-2014-12-02-dailydigest.pdf
"Dec 01, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-12-01/pdf/CREC-2014-12-01-dailydigest.pdf
"Nov 20, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-11-20/pdf/CREC-2014-11-20-dailydigest.pdf
"Nov 19, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-11-19/pdf/CREC-2014-11-19-dailydigest.pdf
"Nov 18, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-11-18/pdf/CREC-2014-11-18-dailydigest.pdf
"Nov 17, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-11-17/pdf/CREC-2014-11-17-dailydigest.pdf
"Nov 13, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-11-13/pdf/CREC-2014-11-13-dailydigest.pdf
"Nov 12, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-11-12/pdf/CREC-2014-11-12-dailydigest.pdf
"Oct 15, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-10-15/pdf/CREC-2014-10-15-dailydigest.pdf
"Sep 18, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-09-18/pdf/CREC-2014-09-18-dailydigest.pdf
"Sep 17, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-09-17/pdf/CREC-2014-09-17-dailydigest.pdf
"Sep 16, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-09-16/pdf/CREC-2014-09-16-dailydigest.pdf
"Sep 15, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-09-15/pdf/CREC-2014-09-15-dailydigest.pdf
"Sep 11, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-09-11/pdf/CREC-2014-09-11-dailydigest.pdf
"Sep 10, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-09-10/pdf/CREC-2014-09-10-dailydigest.pdf
"Sep 09, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-09-09/pdf/CREC-2014-09-09-dailydigest.pdf
"Sep 08, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-09-08/pdf/CREC-2014-09-08-dailydigest.pdf
"Aug 08, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-08-08/pdf/CREC-2014-08-08-dailydigest.pdf
"Aug 05, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-08-05/pdf/CREC-2014-08-05-dailydigest.pdf
"Aug 01, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-08-01/pdf/CREC-2014-08-01-dailydigest.pdf
"Jul 31, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-07-31/pdf/CREC-2014-07-31-dailydigest.pdf
"Jul 30, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-07-30/pdf/CREC-2014-07-30-dailydigest.pdf
"Jul 29, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-07-29/pdf/CREC-2014-07-29-dailydigest.pdf
"Jul 28, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-07-28/pdf/CREC-2014-07-28-dailydigest.pdf
"Jul 24, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-07-24/pdf/CREC-2014-07-24-dailydigest.pdf
"Jul 23, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-07-23/pdf/CREC-2014-07-23-dailydigest.pdf
"Jul 22, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-07-22/pdf/CREC-2014-07-22-dailydigest.pdf
"Jul 21, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-07-21/pdf/CREC-2014-07-21-dailydigest.pdf
"Jul 17, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-07-17/pdf/CREC-2014-07-17-dailydigest.pdf
"Jul 16, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-07-16/pdf/CREC-2014-07-16-dailydigest.pdf
"Jul 15, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-07-15/pdf/CREC-2014-07-15-dailydigest.pdf
"Jul 14, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-07-14/pdf/CREC-2014-07-14-dailydigest.pdf
"Jul 10, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-07-10/pdf/CREC-2014-07-10-dailydigest.pdf
"Jul 09, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-07-09/pdf/CREC-2014-07-09-dailydigest.pdf
"Jul 08, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-07-08/pdf/CREC-2014-07-08-dailydigest.pdf
"Jul 07, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-07-07/pdf/CREC-2014-07-07-dailydigest.pdf
"Jul 03, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-07-03/pdf/CREC-2014-07-03-dailydigest.pdf
"Jun 30, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-06-30/pdf/CREC-2014-06-30-dailydigest.pdf
"Jun 26, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-06-26/pdf/CREC-2014-06-26-dailydigest.pdf
"Jun 25, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-06-25/pdf/CREC-2014-06-25-dailydigest.pdf
"Jun 24, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-06-24/pdf/CREC-2014-06-24-dailydigest.pdf
"Jun 23, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-06-23/pdf/CREC-2014-06-23-dailydigest.pdf
"Jun 19, 2014",https://www.govinfo.gov/content/pkg/CREC-2014-06-19/pdf/CREC-2014-06-19-dailydigest.pdf
