Paragraph,Date
"Tuesday, December 16, 2014","Dec 16, 2014"
CORRECTION,"Dec 16, 2014"
HIGHLIGHTS,"Dec 16, 2014"
Daily Digest,"Dec 16, 2014"
"Senate passed H.R. 5771, Tax Increase Prevention Act. Senate agreed to H. Con. Res. 125, and stands adjourned sine die.","Dec 16, 2014"
Senate,"Dec 16, 2014"
"Chamber Action Routine Proceedings, pages S6869-S6934 Measures Introduced: Three bills were introduced, as follows: S. 3018-3020. Page S6921 Measures Passed: Tax Increase Prevention Act: By 76 yeas to 16 nays (Vote No. 364), Senate passed H.R. 5771, to amend the Internal Revenue Code of 1986 to extend certain expiring provisions and make technical cor- rections, to amend the Internal Revenue Code of 1986 to provide for the tax treatment of ABLE ac- counts established under State programs for the care of family members with disabilities, by the order of the Senate of Tuesday, December 16, 2014, 60 Sen- ators having voted in the affirmative.","Dec 16, 2014"
"Pages S6869-70, S6898-S6903 Enrollment Correction: Senate agreed to H. Con. Res. 124, providing for a correction in the enroll- ment of H.R. 5771. Page S6903","Dec 16, 2014"
"Grand Portage Band Per Capita Adjustment Act: Senate passed H.R. 3608, to amend the Act of October 19, 1973, concerning taxable income to members of the Grand Portage Band of Lake Supe- rior Chippewa Indians. Page S6924","Dec 16, 2014"
D1142,"Dec 16, 2014"
"Father Richard Marquess-Barry Post Office Building: Senate passed H.R. 4030, to designate the facility of the United States Postal Service located at 18640 NW 2nd Avenue in Miami, Florida, as the ""Father Richard Marquess-Barry Post Office Build- ing"". Page S6924","Dec 16, 2014"
"Mni Wiconi Project Act Amendments: Senate passed S. 684, to amend the Mni Wiconi Project Act of 1988 to facilitate completion of the Mni Wiconi Rural Water Supply System, after agreeing to the committee amendments, and the following amendment proposed thereto: Pages S6924-29","Dec 16, 2014"
"Pryor (for Johnson (SD)) Amendment No. 4122, to provide an offset. Page S6926","Dec 16, 2014"
"Bureau of Reclamation Transparency Act: Sen- ate passed S. 1800, to require the Secretary of the Interior to submit to Congress a report on the efforts of the Bureau of Reclamation to manage its infra- structure assets, after agreeing to the committee amendment in the nature of a substitute, and the following amendment proposed thereto:","Dec 16, 2014"
"Pages S6924-29 Pryor (for Barrasso) Amendment No. 4123, to provide an offset. Page S6928","Dec 16, 2014"
"Recognizing Nobel Laureates Kailash Satyarthi and Malala Yousafzai: Senate agreed to S. Res. 595, recognizing Nobel Laureates Kailash Satyarthi and Malala Yousafzai for their efforts to end the fi- nancial exploitation of children and to ensure the right of all children to an education, after agreeing to the committee amendment in the nature of a sub- stitute and with an amended preamble. Page S6929","Dec 16, 2014"
"100th Anniversary of the Birth of James Cleve- land ""Jesse"" Owens: Committee on the Judiciary was discharged from further consideration of S. Res. 226, celebrating the 100th anniversary of the birth of James Cleveland “Jesse” Owens and honoring him for his accomplishments and steadfast commitment to promoting the civil rights of all people, and the resolution was then agreed to, after agreeing to the following amendment proposed thereto: Page S6929 Pryor (for Brown) Amendment No. 4126, to amend the preamble. Page S6929 Centennial of the Passenger Pigeon Extinction: Committee on Environment and Public Works was discharged from further consideration of S. Res. 564, honoring conservation on the centennial of the pas- senger pigeon extinction, and the resolution was then agreed to, after agreeing to the following amendments proposed thereto: Pages S6929-30","Dec 16, 2014"
"CONGRESSIONAL RECORD DAILY DIGEST CORRECTION D1143 Daniel J. Santos, of Virginia, to be a Member of the Defense Nuclear Facilities Safety Board for a term expiring October 18, 2017. Pages S6870, S6933 Frank A. Rose, of Massachusetts, to be an Assist- ant Secretary of State (Verification and Compliance). Pages S6870, S6933 By 55 yeas to 39 nays (Vote No. EX. 360), Sarah R. Saldana, of Texas, to be an Assistant Secretary of Homeland Security. Pages S6872-83, S6884–86, S6933 During consideration of this nomination today, Senate also took the following action: By 53 yeas to 41 nays (Vote No. 359), Senate agreed to the motion to close further debate on the nomination. Page S6885 By 55 yeas to 38 nays (Vote No. EX. 362), Antony Blinken, of New York, to be Deputy Sec- retary of State. Pages S6886-97, S6934 During consideration of this nomination today, Senate also took the following action: By 53 yeas to 40 nays (Vote No. 361), Senate agreed to the motion to close further debate on the nomination. Page S6897 Karen Kornbluh, of New York, to be a Member of the Broadcasting Board of Governors for a term expiring August 13, 2016.","Dec 16, 2014"
"December 16, 2014 Pryor (for Brown) Amendment No. 4124, to amend the resolving clause. Page S6929 Pryor (for Brown) Amendment No. 4125, to amend the preamble. Page S6929 Adjournment Resolution: Senate agreed to H. Con. Res. 125, providing for the sine die adjourn- ment of the second session of the One Hundred Thirteenth Congress. Page S6930 Appointments:","Dec 16, 2014"
"United States-China Economic Security Review Commission: The Chair announced, on behalf of the Republican Leader, pursuant to the provisions of Public Law 106-398, as amended by Public Law 108-7, and in consultation with the Chairmen of the Senate Committee on Armed Services and the Senate Committee on Finance, the re-appointment of the following individuals to serve as members of the United States-China Economic Security Review Commission: Robin Cleveland of Virginia, Dennis Shea of Virginia. Page S6930","Dec 16, 2014"
